12.5,-121,12.5,-120
12.5,-113,12.5,-112
14.5,-97,14.5,-96
14.5,-35,14.5,-34
11.5,-23,11.5,-22
13.5,-9,13.5,-8
10,-6.5,11,-6.5
11.5,-5,11.5,-4
11,-55,11,-54
11.5,-75,11.5,-74
11.5,-43,11.5,-42
11.5,-101,11.5,-100
12.5,-85,12.5,-84
12,-117.5,13,-117.5
12,-107.5,13,-107.5
12,-102.5,13,-102.5
12,-88.5,13,-88.5
12,-77.5,13,-77.5
12,-56.5,13,-56.5
12,-50.5,13,-50.5
12,-41.5,13,-41.5
12,-29.5,13,-29.5
12,-3.5,13,-3.5
14.5,-75,14.5,-74
14.5,-123,14.5,-122
12,-123.5,13,-123.5
14,-109,14,-108
13.5,-87,13.5,-86
14,-73,14,-72
12,-69.5,13,-69.5
13.5,-67,13.5,-66
13.5,-65,13.5,-64
12,-63.5,13,-63.5
13.5,-63,13.5,-62
13.5,-49,13.5,-48
13.5,-47,13.5,-46
12,-45.5,13,-45.5
13.5,-45,13.5,-44
13.5,-17,13.5,-16
12,-13.5,13,-13.5
13.5,-11,13.5,-10
14.5,-37,14.5,-36
12,-38.5,13,-38.5
16.5,-41,16.5,-40
14,-119.5,15,-119.5
14,-107.5,15,-107.5
14,-100.5,15,-100.5
14,-93.5,15,-93.5
14,-88.5,15,-88.5
14,-83.5,15,-83.5
14,-70.5,15,-70.5
14,-65.5,15,-65.5
14,-61.5,15,-61.5
14,-47.5,15,-47.5
14,-43.5,15,-43.5
14,-25.5,15,-25.5
14,-21.5,15,-21.5
14,-17.5,15,-17.5
14,-12.5,15,-12.5
14,-111.5,15,-111.5
15.5,-95,15.5,-94
15.5,-33,15.5,-32
14,-30.5,15,-30.5
15.5,-7,15.5,-6
14,-5.5,15,-5.5
15.5,-57,15.5,-56
14,-56,15,-56
15.5,-119,15.5,-118
15.5,-107,15.5,-106
16.5,-103,16.5,-102
15.5,-91,15.5,-90
15.5,-79,15.5,-78
14,-77.5,15,-77.5
15.5,-61,15.5,-60
15.5,-43,15.5,-42
15.5,-25,15.5,-24
15.5,-23,15.5,-22
15.5,-5,15.5,-4
16.5,-111,16.5,-110
16.5,-69,16.5,-68
15.5,-29,15.5,-28
15.5,-15,15.5,-14
16.5,-77,16.5,-76
15.5,-53,15.5,-52
16,-124.5,17,-124.5
16,-121.5,17,-121.5
16,-116.5,17,-116.5
16,-107.5,17,-107.5
16,-93.5,17,-93.5
16,-84.5,17,-84.5
16,-59.5,17,-59.5
16,-55.5,17,-55.5
16,-51.5,17,-51.5
16,-43.5,17,-43.5
16,-37.5,17,-37.5
16,-31.5,17,-31.5
16,-27.5,17,-27.5
16,-23.5,17,-23.5
